,Employer,Orbis_ID,BvD_ID,fyear,CEI,State,Voluntary,Democratic_Lean,State_name,Region_Midwest,Region_Northeast,Region_South,Region_West,current_assets,lt_debt,TobinsQ,net_debt,Employees,ROA,RD_expenses,total_assets,LT_debt_to_assets,Net_debt_to_current_assets,Net_debt>0,ln_Employees,BvD sectors,Sector,public_scrutiny,consumer_proximity,litigation_risk,injury_risk,age,time_trend
0,3M Co.,000037970,US410417775,2010,100.0,MN,1.0,7.694102046577612,MINNESOTA,True,False,False,False,12215000.0,4277000.0,2.046,1068000.0,80057.0,13.546,1434000.0,30156000.0,0.14182915506035282,0.0874334834220221,1.0,11.290494159948398,"Leather, Stone, Clay & Glass products",Materials,Low,Low,Low,High,81.0,0
1,Abbott Laboratories,000002966,US360698440,2010,80.0,IL,1.0,16.86939409166019,ILLINOIS,True,False,False,False,22317529.0,12523517.0,1.223,13466833.0,90000.0,7.637,3724424.0,60573852.0,0.2067479050201397,0.603419536275723,1.0,11.407564949312402,"Chemicals, Petroleum, Rubber & Plastic",Chemicals,Low,Low,Low,High,110.0,0
2,Abercrombie & Fitch Co.,000264107,US311469076,2010,100.0,OH,1.0,2.978306779897295,OHIO,True,False,False,False,1426781.0,68566.0,1.506,-757787.0,85000.0,5.294,,2941415.0,0.02331054951443438,-0.5311165483700722,0.0,11.350406535472453,Retail,Retailing,Low,Low,Low,Low,14.0,0
3,Accenture,007561404,IE471706,2010,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,9563625.0,1445.0,1.817,-4839691.0,204000.0,13.873,383700.0,12835253.0,0.00011258056229978481,-0.5060519416016417,0.0,12.225875272826354,Business Services,Business Services,Low,Low,Low,Low,21.0,0
4,ADP,000006818,US221467904,2010,100.0,NJ,1.0,17.71879008349322,NEW JERSEY,False,True,False,False,22316700.0,39800.0,0.754,-1628600.0,47000.0,4.51,513900.0,26862200.0,0.0014816359047285777,-0.0729767393924729,0.0,10.757902880692196,Computer Software,Technology,Low,Low,High,Low,49.0,0
5,Advanced Micro Devices Inc.,000313383,US941692300,2010,75.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,3594000.0,2188000.0,1.123,632000.0,11068.0,9.488,1405000.0,4964000.0,0.44077356970185333,0.1758486366165832,1.0,9.311813340906816,"Industrial, Electric & Electronic Machinery",Industrials,Low,Low,Low,High,41.0,0
6,Agilent Technologies Inc.,000519086,US770518772,2010,100.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,6169000.0,2190000.0,1.243,1042000.0,18500.0,7.054,612000.0,9696000.0,0.22586633663366337,0.16890906143621331,1.0,9.825526011066415,"Industrial, Electric & Electronic Machinery",Industrials,Low,Low,Low,High,11.0,0
7,AIG,000298601,US132592361,2010,85.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,"Banking, Insurance & Financial Services",Financials,Low,Low,High,Low,91.0,0
8,Air Products & Chemicals Inc.,000014662,US231274455,2010,75.0,PA,1.0,5.395991668466252,PENNSYLVANIA,False,True,False,False,3033800.0,3659800.0,1.303,3754000.0,18300.0,7.62,114700.0,13505900.0,0.27097786893135595,1.2373920495747908,1.0,9.814656338829513,"Chemicals, Petroleum, Rubber & Plastic",Chemicals,Low,Low,Low,High,49.0,0
9,"Akin, Gump, Strauss, Hauer & Feld LLP",221990934,US257619089L,2010,100.0,DC,1.0,83.63482251058672,DISTRICT OF COLUMBIA,False,False,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,34.0,0
10,Alcoa Corp.,307134867,US811789115,2010,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,Metals & Metal Products,Materials,Low,Low,Low,High,0.0,0
11,Alliant Energy Corp.,000925906,US391380265,2010,80.0,WI,1.0,6.837815821534832,WISCONSIN,True,False,False,False,1092700.0,2703400.0,0.439,2592800.0,4704.0,3.098,,9282900.0,0.2912236477824818,2.372837924407431,1.0,8.456168489578463,Utilities,Energy,Low,High,High,High,29.0,0
12,Allianz Life Insurance Co. of North America,073182487,US411366075,2010,100.0,MN,1.0,7.694102046577612,MINNESOTA,True,False,False,False,,,,,,,,,,,,,"Banking, Insurance & Financial Services",Financials,Low,Low,High,Low,114.0,0
13,Alston & Bird LLP,202500852,US130134217L,2010,100.0,GA,1.0,-7.821282510642426,GEORGIA,False,False,True,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,68.0,0
14,Amazon.com Inc.,001812590,US911646860,2010,95.0,WA,1.0,14.86877686756363,WASHINGTON,False,False,False,True,13747000.0,641000.0,4.298,-8121000.0,33700.0,6.129,1734000.0,18797000.0,0.03410118635952546,-0.5907470720884557,0.0,10.425253116340453,Retail,Retailing,Low,Low,Low,Low,14.0,0
15,AMC Entertainment Inc.,000634737,US431304369,2010,100.0,MO,1.0,-9.380257590423753,MISSOURI,True,False,False,False,415999.0,2158260.0,,1867057.0,17900.0,-3.285,,3740245.0,0.5770370657537139,4.488128577232157,1.0,9.792555991828847,Media & Broadcasting,Media,Low,Low,Low,Low,27.0,0
16,Ameren Corp.,001350575,US431723446,2010,70.0,MO,1.0,-9.380257590423753,MISSOURI,True,False,False,False,2890000.0,7313000.0,0.286,7192000.0,9474.0,0.591,,23511000.0,0.31104589341159455,2.4885813148788927,1.0,9.156306483483696,Utilities,Energy,Low,High,High,High,15.0,0
17,American Express Company,000044254,US134922250,2010,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,0.355,,60500.0,2.786,,145653000.0,,,,11.010398644018933,Business Services,Business Services,Low,Low,Low,Low,160.0,0
18,Ameriprise Financial Inc.,188111866,US133180631,2010,100.0,MN,1.0,7.694102046577612,MINNESOTA,True,False,False,False,,,0.109,,,0.96,,131214000.0,,,,,Business Services,Business Services,Low,Low,Low,Low,15.0,0
19,Amgen Inc.,000270898,US953540776,2010,70.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,23129000.0,10874000.0,1.193,-4060000.0,17400.0,10.64,2894000.0,43486000.0,0.2500574897668215,-0.1755372043754594,0.0,9.764225485202621,"Chemicals, Petroleum, Rubber & Plastic",Chemicals,Low,Low,Low,High,24.0,0
20,Anheuser-Busch Companies Inc.,049961396,US431162835,2010,100.0,MO,1.0,-9.380257590423753,MISSOURI,True,False,False,False,,,,,,,,,,,,,Food & Tobacco Manufacturing,"Food, Beverages & Tobacco",High,High,High,High,31.0,0
21,Anthem Inc.,017679331,US352145715,2010,95.0,IN,1.0,-10.19822947616606,INDIANA,True,False,False,False,,,,,,,,,,,,,"Banking, Insurance & Financial Services",Financials,Low,Low,High,Low,6.0,0
22,Apple Inc.,000411117,US942404110,2010,100.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,41678000.0,0.0,3.448,-25620000.0,46600.0,18.639,1782000.0,75183000.0,0.0,-0.6147127981189117,0.0,10.749355820113736,Computer Hardware,Technology,Low,Low,High,Low,33.0,0
23,Applied Materials Inc.,000291438,US941655526,2010,100.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,6765315.0,204271.0,1.508,-2379053.0,14325.0,8.57,1143521.0,10943345.0,0.01866623048071682,-0.35165443146401903,0.0,9.56976154158294,"Industrial, Electric & Electronic Machinery",Industrials,Low,Low,Low,High,23.0,0
24,Aramark Corp.,484877399,US117008606GN,2010,75.0,PA,1.0,5.395991668466252,PENNSYLVANIA,False,True,False,False,,,,,,,,,,,,,,,,,,,,0
25,Arent Fox LLP,547190258,US348694061L,2010,100.0,DC,1.0,83.63482251058672,DISTRICT OF COLUMBIA,False,False,False,False,,,,,,,,,,,,,,,,,,,,0
26,AstraZeneca PLC,483649168,US111912463GN,2010,80.0,DE,1.0,18.62813791103917,DELAWARE,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,0.0,0
27,AT&T Inc.,000647735,US431301883,2010,100.0,TX,1.0,-15.78361918429553,TEXAS,False,False,True,False,20854000.0,58971000.0,0.645,64730000.0,265590.0,7.374,1280000.0,269391000.0,0.21890486319142066,3.1039608708161506,1.0,12.489709045273205,Communications,Telecommunications,High,Low,High,Low,27.0,0
28,AutoZone Inc.,000813406,US621482048,2010,25.0,TN,1.0,-20.40289972614239,TENNESSEE,False,False,True,False,2611821.0,2882300.0,1.77,2832153.0,63000.0,13.251,,5571594.0,0.5173205369953374,1.0843595330614157,1.0,11.05089000537367,Retail,Retailing,Low,Low,Low,Low,19.0,0
29,Avaya Inc.,000710160,US223713430,2010,85.0,NJ,1.0,17.71879008349322,NEW JERSEY,False,True,False,False,1884000.0,5880000.0,,5349000.0,18890.0,-9.437,407000.0,9261000.0,0.6349206349206349,2.839171974522293,1.0,9.846387960495555,Communications,Telecommunications,High,Low,High,Low,10.0,0
30,Avis Budget Group Inc.,000418082,US060918165,2010,80.0,NJ,1.0,17.71879008349322,NEW JERSEY,False,True,False,False,1638000.0,7009000.0,0.155,6106000.0,21000.0,0.523,,10327000.0,0.6787063038636584,3.727716727716728,1.0,9.95227771670556,"Travel, Personal & Leisure","Hotels, Restaurants & Leisure",Low,Low,Low,Low,36.0,0
31,Avnet Inc.,000044481,US111890605,2010,30.0,AZ,1.0,-9.064766224175322,ARIZONA,False,False,False,True,6630168.0,1243681.0,0.468,188128.0,14200.0,5.273,,7782382.0,0.1598072415360747,0.02837454495874011,1.0,9.560997243589352,Wholesale,Wholesalers,Low,Low,Low,Low,55.0,0
32,Avon Products Inc.,000004254,US130544597,2010,90.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,4184300.0,2408600.0,1.584,1939200.0,42000.0,7.695,72600.0,7873700.0,0.3059044667691174,0.4634466935927156,1.0,10.645424897265505,"Chemicals, Petroleum, Rubber & Plastic",Chemicals,Low,Low,Low,High,94.0,0
33,Baker & McKenzie LLP,018360836,GBOC311297,2010,95.0,IL,1.0,16.86939409166019,ILLINOIS,True,False,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,5.0,0
34,Baker Botts LLP,037999272,US129588428L,2010,100.0,TX,1.0,-15.78361918429553,TEXAS,False,False,True,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,170.0,0
35,Ball Corp.,000039983,US350160610,2010,43.0,CO,1.0,5.3651349125672,COLORADO,False,False,False,True,2305700.0,2701600.0,0.868,2660300.0,14500.0,6.755,22200.0,6927700.0,0.3899706973454393,1.15379277442859,1.0,9.581903928408666,Metals & Metal Products,Materials,Low,Low,Low,High,88.0,0
36,Ballard Spahr LLP,201512481,US128286488L,2010,100.0,PA,1.0,5.395991668466252,PENNSYLVANIA,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,125.0,0
37,Bank of America Corp.,000376922,US560906609,2010,100.0,NC,1.0,-2.042095525075396,NORTH CAROLINA,False,False,True,False,,,0.059,,286612.0,-0.068,,2268350000.0,,,,12.565884663702048,Business Services,Business Services,Low,Low,Low,Low,42.0,0
38,"Bank of New York Mellon Corp., The",012685797,US132614959,2010,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,0.152,,48000.0,1.044,,247159000.0,,,,10.778956289890028,Business Services,Business Services,Low,Low,Low,Low,3.0,0
39,Barnes & Noble Inc.,000924677,US061196501,2010,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,1719477.0,410400.0,0.342,449435.0,40000.0,0.99,,3705686.0,0.11074872506736944,0.26137889602477965,1.0,10.596634733096073,Retail,Retailing,Low,Low,Low,Low,24.0,0
40,BASF Corp.,505219443,US335965745L,2010,100.0,NJ,1.0,17.71879008349322,NEW JERSEY,False,True,False,False,,,,,,,,,,,,,"Chemicals, Petroleum, Rubber & Plastic",Chemicals,Low,Low,Low,High,145.0,0
41,Baxter International Inc.,000030383,US360781620,2010,80.0,IL,1.0,16.86939409166019,ILLINOIS,True,False,False,False,7989000.0,4363000.0,1.687,1702000.0,48000.0,8.119,915000.0,17489000.0,0.2494710961175596,0.21304293403429717,1.0,10.778956289890028,"Industrial, Electric & Electronic Machinery",Industrials,Low,Low,Low,High,79.0,0
42,Best Buy Co. Inc.,000170796,US410907483,2010,100.0,MN,1.0,7.694102046577612,MINNESOTA,True,False,False,False,10473000.0,711000.0,0.712,584000.0,180000.0,7.154,,17849000.0,0.0398341643789568,0.05576243674209873,1.0,12.100712129872347,Retail,Retailing,Low,Low,Low,Low,44.0,0
43,Blue Cross Blue Shield of Florida Inc.,000429575,US592015694,2010,100.0,FL,1.0,0.8768873067231624,FLORIDA,False,False,True,False,,,,,,,,,,,,,"Banking, Insurance & Financial Services",Financials,Low,Low,High,Low,30.0,0
44,Blue Cross Blue Shield of North Carolina,000370106,US149128854L,2010,90.0,NC,1.0,-2.042095525075396,NORTH CAROLINA,False,False,True,False,,,,,,,,,,,,,"Banking, Insurance & Financial Services",Financials,Low,Low,High,Low,42.0,0
45,BMC Software Inc.,050613534,US742126120,2010,100.0,TX,1.0,-15.78361918429553,TEXAS,False,False,True,False,2267400.0,335600.0,1.981,-1353100.0,6200.0,10.171,181600.0,4485400.0,0.07482052882686048,-0.5967628120314016,0.0,8.732304571033183,"Industrial, Electric & Electronic Machinery",Industrials,Low,Low,Low,High,22.0,0
46,Boehringer Ingelheim USA Corp.,000472435,US149207632L,2010,100.0,CT,1.0,17.33989901193939,CONNECTICUT,False,True,False,False,,,,,,,,,,,,,"Chemicals, Petroleum, Rubber & Plastic",Chemicals,Low,Low,Low,High,24.0,0
47,Boeing Co.,216949837,US221306012L,2010,100.0,IL,1.0,16.86939409166019,ILLINOIS,True,False,False,False,,,,,,,,,,,,,Transport Manufacturing,Transportation,Low,Low,Low,High,0.0,0
48,Booz Allen Hamilton Inc.,416755476,US312916541L,2010,100.0,VA,1.0,3.873353899829524,VIRGINIA,False,False,True,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,96.0,0
49,Boston Consulting Group,527330317,US342697991L,2010,100.0,MA,1.0,23.0191860048816,MASSACHUSETTS,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,47.0,0
50,BP America Inc.,547513901,US349676339L,2010,100.0,TX,1.0,-15.78361918429553,TEXAS,False,False,True,False,,,,,,,,,,,,,,,,,,,,0
51,Bridgestone Americas Holding Inc.,477852215,US111635773GN,2010,80.0,TN,1.0,-20.40289972614239,TENNESSEE,False,False,True,False,,,,,,,,,,,,,Biotechnology and Life Sciences,Health Care,Low,Low,Low,High,8.0,0
52,Brinker International Inc.,000172236,US751914582,2010,100.0,TX,1.0,-15.78361918429553,TEXAS,False,False,True,False,501067.0,524511.0,0.801,196753.0,,7.435,,1852104.0,0.28319737984476034,0.3926680463890059,1.0,,"Travel, Personal & Leisure","Hotels, Restaurants & Leisure",Low,Low,Low,Low,27.0,0
53,Brown Rudnick LLP,484004089,US114269949GN,2010,100.0,MA,1.0,23.0191860048816,MASSACHUSETTS,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,0.0,0
54,Brown-Forman Corp.,000039678,US610143150,2010,85.0,KY,1.0,-22.69181376487582,KENTUCKY,False,False,True,False,1527000.0,508000.0,1.553,467000.0,3900.0,13.272,,3383000.0,0.1501625775938516,0.3058284217419777,1.0,8.268731832117737,Food & Tobacco Manufacturing,"Food, Beverages & Tobacco",High,High,High,High,77.0,0
55,Burlington Northern Santa Fe Corp.,001821840,US411804964,2010,20.0,TX,1.0,-15.78361918429553,TEXAS,False,False,True,False,,,,,,,,,,,,,,,,,,,,0
56,C&S Wholesale Grocers Inc.,000006400,US127841983L,2010,40.0,NH,1.0,5.575887658023099,NEW HAMPSHIRE,False,True,False,False,,,,,,,,,,,,,Wholesale,Wholesalers,Low,Low,Low,Low,92.0,0
57,"Cadwalader, Wickersham & Taft LLP",001841066,US126962187L,2010,95.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,38.0,0
58,Calpine Corp.,000669203,US770212977,2010,48.0,TX,1.0,-15.78361918429553,TEXAS,False,False,True,False,3429000.0,10104000.0,0.344,8929000.0,2142.0,0.18,,17256000.0,0.5855354659248957,2.603966170895305,1.0,7.669495251007694,Utilities,Energy,Low,High,High,High,14.0,0
59,Campbell Soup Company,000002825,US210419870,2010,100.0,NJ,1.0,17.71879008349322,NEW JERSEY,False,True,False,False,1687000.0,1945000.0,1.942,2526000.0,18400.0,13.448,123000.0,6276000.0,0.30991077119184196,1.4973325429756965,1.0,9.820105943597078,Food & Tobacco Manufacturing,"Food, Beverages & Tobacco",High,High,High,High,88.0,0
60,Capital One Financial Corp.,001802308,US541719854,2010,100.0,VA,1.0,3.873353899829524,VIRGINIA,False,False,True,False,,,0.098,,25707.0,1.389,,197503000.0,,,,10.154518607337229,Business Services,Business Services,Low,Low,Low,Low,16.0,0
61,Cardinal Health Inc.,000587542,US310958666,2010,100.0,OH,1.0,2.978306779897295,OHIO,True,False,False,False,14918900.0,1896100.0,0.609,-626000.0,31200.0,3.212,,19990200.0,0.09485147722383969,-0.04196019813793242,0.0,10.348173373797573,Wholesale,Wholesalers,Low,Low,Low,Low,31.0,0
62,Cargill Inc.,039562067,US126054559L,2010,100.0,MN,1.0,7.694102046577612,MINNESOTA,True,False,False,False,,,,,,,,,,,,,Food & Tobacco Manufacturing,"Food, Beverages & Tobacco",High,High,High,High,145.0,0
63,Carlton Fields P.A.,213071057,US183080895L,2010,100.0,FL,1.0,0.8768873067231624,FLORIDA,False,False,True,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,109.0,0
64,CarMax Inc.,000174838,US541821055,2010,100.0,VA,1.0,3.873353899829524,VIRGINIA,False,False,True,False,1410098.0,4248759.0,1.12,4353776.0,15565.0,5.298,,7125549.0,0.5962711083735442,3.0875698001131835,1.0,9.652780082875708,Retail,Retailing,Low,Low,Low,Low,14.0,0
65,Caterpillar Inc.,050889636,US370602744,2010,75.0,IL,1.0,16.86939409166019,ILLINOIS,True,False,False,False,31810000.0,20437000.0,0.935,24826000.0,104490.0,4.217,1905000.0,64020000.0,0.31922836613558264,0.7804464005029865,1.0,11.556846652028156,"Industrial, Electric & Electronic Machinery",Industrials,Low,Low,Low,High,24.0,0
66,CDW Corp.,157900269,US260273989,2010,88.0,IL,1.0,16.86939409166019,ILLINOIS,True,False,False,False,1702300.0,4157400.0,,4253400.0,,-0.491,,5943800.0,0.6994515293246745,2.4986195147741292,1.0,,Retail,Retailing,Low,Low,Low,Low,3.0,0
67,Cerner Corp.,000290327,US431196944,2010,73.0,MO,1.0,-9.380257590423753,MISSOURI,True,False,False,False,1146061.0,67923.0,,-478252.0,8200.0,9.793,203857.0,2422790.0,0.028035033989739104,-0.41730064979089243,0.0,9.011889433252344,Computer Software,Technology,Low,Low,High,Low,24.0,0
68,Chapman and Cutler LLP,000479902,US129928473L,2010,100.0,IL,1.0,16.86939409166019,ILLINOIS,True,False,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,97.0,0
69,Chevron Corp.,000003619,US940890210,2010,100.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,48841000.0,11289000.0,0.994,-5594000.0,62000.0,10.296,1147000.0,184769000.0,0.06109791144618416,-0.11453491943244405,0.0,11.03488966402723,"Chemicals, Petroleum, Rubber & Plastic",Chemicals,Low,Low,Low,High,84.0,0
70,Choice Hotels International Inc.,001350623,US521209792,2010,90.0,MD,1.0,26.0764584403731,MARYLAND,False,True,False,False,163582.0,251554.0,5.536,160915.0,1524.0,26.096,,411722.0,0.6109802245204289,0.9836962501986771,1.0,7.329093736246592,"Travel, Personal & Leisure","Hotels, Restaurants & Leisure",Low,Low,Low,Low,30.0,0
71,Chubb Ltd.,057002807,CHCHE114425464,2010,100.0,NJ,1.0,17.71879008349322,NEW JERSEY,False,True,False,False,,,,,,,,,,,,,"Banking, Insurance & Financial Services",Financials,Low,Low,High,Low,25.0,0
72,CIGNA Corp.,216881696,US220688789L,2010,95.0,PA,1.0,5.395991668466252,PENNSYLVANIA,False,True,False,False,,,,,,,,,,,,,,,,,,,,0
73,Cisco Systems Inc.,006741192,US770059951,2010,100.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,51421000.0,12188000.0,1.624,-24577000.0,70700.0,9.574,5273000.0,81130000.0,0.15022802908911623,-0.47795647692576965,0.0,11.166200851884664,Communications,Telecommunications,High,Low,High,Low,0.0,0
74,Citigroup Inc.,372678613,US521568099,2010,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,0.072,,289753.0,0.569,,1913900000.0,,,,12.576784114901635,Business Services,Business Services,Low,Low,Low,Low,98.0,0
75,Cleary Gottlieb Steen & Hamilton LLP,000464861,US127515119L,2010,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,64.0,0
76,Clifford Chance US LLP,000483734,US127896561L,2010,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,12.0,0
77,"Coca-Cola Co., The",297645909,US129021951L,2010,100.0,GA,1.0,-7.821282510642426,GEORGIA,False,False,True,False,,,,,,,,,,,,,,,,,,,,0
78,Colgate-Palmolive Co.,006741197,US131815595,2010,95.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,3730000.0,2815000.0,3.472,2860000.0,39200.0,19.415,256000.0,11172000.0,0.25196920873612605,0.7667560321715817,1.0,10.576432025778553,"Chemicals, Petroleum, Rubber & Plastic",Chemicals,Low,Low,Low,High,87.0,0
79,Comerica Inc.,318217944,US381998421,2010,80.0,TX,1.0,-15.78361918429553,TEXAS,False,False,True,False,,,0.138,,9001.0,0.513,,54001100.0,,,,9.105090961257085,Business Services,Business Services,Low,Low,Low,Low,37.0,0
80,Compass Group USA Inc.,209794381,US149322281L,2010,50.0,NC,1.0,-2.042095525075396,NORTH CAROLINA,False,False,True,False,,,,,,,,,,,,,"Travel, Personal & Leisure","Hotels, Restaurants & Leisure",Low,Low,Low,Low,69.0,0
81,Conagra Brands Inc.,000046470,US470248710,2010,90.0,NE,1.0,-21.77587776111906,NEBRASKA,True,False,False,False,3960100.0,3226400.0,0.918,2534000.0,24400.0,5.227,77900.0,11738000.0,0.27486795024706084,0.6398828312416354,1.0,10.102338411281293,Food & Tobacco Manufacturing,"Food, Beverages & Tobacco",High,High,High,High,35.0,0
82,ConocoPhillips,000003497,US010562944,2010,70.0,TX,1.0,-15.78361918429553,TEXAS,False,False,True,False,34660000.0,22656000.0,0.64,12082000.0,29700.0,7.266,1125000.0,156314000.0,0.14493903297209462,0.3485862665897288,1.0,10.298902324790792,"Chemicals, Petroleum, Rubber & Plastic",Chemicals,Low,Low,Low,High,9.0,0
83,"Consolidated Edison, Inc.",000014309,US133965100,2010,95.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,3669000.0,10678000.0,0.396,10345000.0,15180.0,2.729,23000.0,36348000.0,0.2937713216683174,2.8195693649495777,1.0,9.627734050949622,Utilities,Energy,Low,High,High,High,13.0,0
84,Convergys Corp.,000182514,US311598292,2010,80.0,OH,1.0,2.978306779897295,OHIO,True,False,False,False,705500.0,119300.0,0.755,24200.0,70000.0,-2.503,18000.0,2125300.0,0.05613325177621983,0.03430191353649894,1.0,11.156250521031495,Computer Software,Technology,Low,Low,High,Low,14.0,0
85,Cooper Tire & Rubber Co.,049580087,US344297750,2010,33.0,OH,1.0,2.978306779897295,OHIO,True,False,False,False,1340239.0,320724.0,0.629,60197.0,12898.0,6.092,39748.0,2305537.0,0.13911032440598436,0.04491512334740296,1.0,9.464827539570322,"Chemicals, Petroleum, Rubber & Plastic",Chemicals,Low,Low,Low,High,80.0,0
86,Corning,000002969,US160393470,2010,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,8859000.0,2262000.0,1.169,-4031000.0,26200.0,13.773,603000.0,25833000.0,0.08756242016026013,-0.45501749633141436,0.0,10.173514689749188,Metals & Metal Products,Materials,Low,Low,Low,High,74.0,0
87,Costco Wholesale Corp.,000637903,US911223280,2010,100.0,WA,1.0,14.86877686756363,WASHINGTON,False,False,False,True,11708000.0,2141000.0,1.042,-2582000.0,147000.0,5.471,,23815000.0,0.08990132269577997,-0.2205329689101469,0.0,11.898187865760873,Retail,Retailing,Low,Low,Low,Low,23.0,0
88,Covington & Burling LLP,000472189,US131281707L,2010,100.0,DC,1.0,83.63482251058672,DISTRICT OF COLUMBIA,False,False,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,91.0,0
89,Cox Enterprises Inc.,000306505,US130215878L,2010,100.0,GA,1.0,-7.821282510642426,GEORGIA,False,False,True,False,,,,,,,,,,,,,Media & Broadcasting,Media,Low,Low,Low,Low,112.0,0
90,Cracker Barrel Old Country Store Inc.,000307533,US620812904,2010,15.0,TN,1.0,-20.40289972614239,TENNESSEE,False,False,True,False,236259.0,573744.0,0.893,532809.0,67000.0,6.599,,1292067.0,0.44405127597872246,2.2551902784655824,1.0,11.112447898373103,"Travel, Personal & Leisure","Hotels, Restaurants & Leisure",Low,Low,Low,Low,41.0,0
91,"Cravath, Swaine & Moore LLP",000465108,US127468711L,2010,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,191.0,0
92,Credit Suisse USA Inc.,001589210,US131898818,2010,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,"Banking, Insurance & Financial Services",Financials,Low,Low,High,Low,51.0,0
93,Crowell & Moring LLP,000591386,US131289583L,2010,95.0,DC,1.0,83.63482251058672,DISTRICT OF COLUMBIA,False,False,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,31.0,0
94,CSX Corp.,000270072,US621051971,2010,75.0,FL,1.0,0.8768873067231624,FLORIDA,False,False,True,False,2855000.0,8051000.0,0.859,7318000.0,29916.0,5.554,,28141000.0,0.28609502149888066,2.5632224168126094,1.0,10.306148733311558,"Transport, Freight & Storage",Transportation,Low,Low,Low,High,32.0,0
95,Cummins Inc.,000039947,US350257090,2010,100.0,IN,1.0,-10.19822947616606,INDIANA,True,False,False,False,6289000.0,709000.0,2.092,-571000.0,39200.0,9.998,414000.0,10402000.0,0.06815996923668526,-0.09079344887899507,0.0,10.576432025778553,"Industrial, Electric & Electronic Machinery",Industrials,Low,Low,Low,High,91.0,0
96,Darden Restaurants Inc.,001809658,US593305930,2010,80.0,FL,1.0,0.8768873067231624,FLORIDA,False,False,True,False,690200.0,1466300.0,1.143,1442500.0,174079.0,7.667,,5276100.0,0.27791361043194784,2.089973920602724,1.0,12.067264498147921,"Travel, Personal & Leisure","Hotels, Restaurants & Leisure",Low,Low,Low,Low,15.0,0
97,Davis Polk & Wardwell LLP,000426660,US127535550L,2010,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,161.0,0
98,Davis Wright Tremaine LLP,000384540,US133291140L,2010,95.0,WA,1.0,14.86877686756363,WASHINGTON,False,False,False,True,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,66.0,0
99,Dean Foods Co.,463769356,US324027230L,2010,73.0,TX,1.0,-15.78361918429553,TEXAS,False,False,True,False,,,,,,,,,,,,,Food & Tobacco Manufacturing,"Food, Beverages & Tobacco",High,High,High,High,85.0,0
100,Debevoise & Plimpton LLP,000473014,US127892696L,2010,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,7.0,0
